epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,738.147,1.63375,0.69632,0.00188,0.7639,0.68281,0.70229,0.38235,1.58356,0.85414,0.00244,0.000834822,0.000834822,0.000834822
44,753.373,1.6293,0.68828,0.00191,0.77648,0.68934,0.71023,0.38771,1.56441,0.83408,0.00243,0.000820675,0.000820675,0.000820675
45,771.406,1.57831,0.68327,0.00186,0.75228,0.70225,0.7096,0.3846,1.57302,0.81756,0.00243,0.000806528,0.000806528,0.000806528
46,789.635,1.6608,0.7039,0.00179,0.77502,0.68971,0.70501,0.382,1.59905,0.87716,0.0025,0.00079238,0.00079238,0.00079238
47,805.671,1.58924,0.66989,0.0018,0.75891,0.69305,0.70039,0.38749,1.56034,0.82227,0.00237,0.000778233,0.000778233,0.000778233
48,821.986,1.59283,0.67414,0.00174,0.75992,0.71138,0.71025,0.39197,1.56254,0.79965,0.0024,0.000764086,0.000764086,0.000764086
49,839.666,1.52409,0.64639,0.00181,0.77204,0.67594,0.69887,0.38528,1.60317,0.87704,0.00246,0.000749939,0.000749939,0.000749939
50,855.926,1.55758,0.67376,0.00174,0.8111,0.68283,0.7171,0.39702,1.5507,0.84093,0.00239,0.000735792,0.000735792,0.000735792
51,874.049,1.4949,0.63294,0.00183,0.78671,0.70224,0.72415,0.39979,1.55323,0.8217,0.00239,0.000721645,0.000721645,0.000721645
52,892.622,1.50173,0.61883,0.00177,0.77984,0.71545,0.72053,0.39533,1.55536,0.81958,0.00238,0.000707498,0.000707498,0.000707498
53,908.58,1.42674,0.60903,0.00175,0.78536,0.69798,0.71655,0.40067,1.54617,0.80378,0.00237,0.000693351,0.000693351,0.000693351
54,926.585,1.52471,0.64111,0.00167,0.79135,0.70374,0.71541,0.39732,1.56598,0.81996,0.00243,0.000679204,0.000679204,0.000679204
55,942.475,1.52387,0.63017,0.00165,0.76907,0.69038,0.70644,0.39123,1.56609,0.8568,0.00243,0.000665057,0.000665057,0.000665057
56,958.458,1.52135,0.64155,0.00165,0.80308,0.68629,0.71673,0.39468,1.56519,0.84233,0.00242,0.000650909,0.000650909,0.000650909
57,976.303,1.4533,0.60294,0.00171,0.8234,0.69722,0.72636,0.40369,1.54268,0.83329,0.00238,0.000636762,0.000636762,0.000636762
58,994.128,1.48986,0.60814,0.00163,0.80037,0.68129,0.71319,0.39593,1.53496,0.87615,0.00235,0.000622615,0.000622615,0.000622615
59,1010.29,1.43415,0.59233,0.00165,0.7869,0.69884,0.71577,0.38928,1.58754,0.83086,0.00245,0.000608468,0.000608468,0.000608468
60,1026.2,1.43641,0.58141,0.00165,0.78013,0.71907,0.72791,0.39771,1.55623,0.82346,0.00237,0.000594321,0.000594321,0.000594321
61,1042.41,1.5107,0.62262,0.00158,0.79669,0.6914,0.71316,0.39561,1.55223,0.85841,0.00239,0.000580174,0.000580174,0.000580174
62,1057.85,1.45229,0.60364,0.0016,0.81384,0.69315,0.72569,0.39631,1.55301,0.86343,0.00239,0.000566027,0.000566027,0.000566027
63,1073.55,1.41787,0.58466,0.00153,0.79732,0.6959,0.71855,0.39772,1.54757,0.84436,0.00239,0.00055188,0.00055188,0.00055188
64,1089.32,1.43861,0.56345,0.00151,0.79243,0.69869,0.72296,0.39671,1.54271,0.83419,0.00236,0.000537733,0.000537733,0.000537733
65,1105.35,1.35362,0.52619,0.00152,0.77765,0.70197,0.7217,0.40085,1.5376,0.86532,0.00234,0.000523586,0.000523586,0.000523586
66,1120.87,1.35841,0.52949,0.00151,0.82329,0.70626,0.7335,0.40375,1.54723,0.83464,0.00237,0.000509438,0.000509438,0.000509438
67,1140.13,1.46365,0.56493,0.00148,0.80356,0.69886,0.7221,0.39985,1.55346,0.85998,0.00237,0.000495291,0.000495291,0.000495291
68,1156.12,1.46289,0.57063,0.00146,0.81029,0.70875,0.72886,0.40339,1.54087,0.85195,0.00236,0.000481144,0.000481144,0.000481144
69,1172.26,1.39502,0.54251,0.00149,0.81311,0.7071,0.73154,0.40245,1.55667,0.83791,0.0024,0.000466997,0.000466997,0.000466997
70,1188.45,1.40667,0.54115,0.00143,0.81062,0.70392,0.73036,0.40765,1.54778,0.84493,0.00238,0.00045285,0.00045285,0.00045285
71,1206.93,1.33717,0.53014,0.00142,0.8109,0.69646,0.71324,0.3997,1.54871,0.88638,0.00238,0.000438703,0.000438703,0.000438703
72,1222.62,1.33411,0.52112,0.00141,0.82464,0.70232,0.72829,0.40492,1.55245,0.85783,0.00237,0.000424556,0.000424556,0.000424556
73,1238.15,1.23452,0.49807,0.00139,0.7982,0.70543,0.72452,0.40636,1.54145,0.86037,0.00238,0.000410409,0.000410409,0.000410409
74,1254.21,1.24171,0.50752,0.00142,0.79904,0.71666,0.72321,0.40239,1.5463,0.86974,0.00237,0.000396262,0.000396262,0.000396262
75,1269.93,1.29546,0.51858,0.00139,0.81621,0.71562,0.72779,0.4025,1.54518,0.8623,0.00237,0.000382115,0.000382115,0.000382115
76,1286.33,1.32202,0.50628,0.00136,0.81612,0.69319,0.71806,0.40228,1.54567,0.87363,0.00238,0.000367967,0.000367967,0.000367967
77,1301.86,1.27307,0.5144,0.00135,0.80252,0.71118,0.72413,0.4042,1.5392,0.86436,0.00236,0.00035382,0.00035382,0.00035382
78,1318.06,1.34421,0.52126,0.00133,0.80895,0.70436,0.72078,0.40251,1.54897,0.86602,0.00238,0.000339673,0.000339673,0.000339673
79,1333.34,1.19743,0.49066,0.00135,0.82258,0.70322,0.73355,0.40668,1.52855,0.86476,0.00233,0.000325526,0.000325526,0.000325526
80,1349.28,1.22329,0.50206,0.00133,0.81918,0.71367,0.73334,0.40571,1.54034,0.88686,0.00236,0.000311379,0.000311379,0.000311379
81,1364.93,1.22474,0.48065,0.00134,0.82339,0.70141,0.72544,0.40563,1.53953,0.86082,0.00236,0.000297232,0.000297232,0.000297232
82,1380.45,1.24677,0.50822,0.00131,0.81544,0.72127,0.73481,0.40427,1.53966,0.84949,0.00237,0.000283085,0.000283085,0.000283085
83,1396.16,1.29806,0.51223,0.00126,0.82171,0.70017,0.73607,0.4092,1.5307,0.8736,0.00234,0.000268938,0.000268938,0.000268938
84,1414.29,1.26641,0.49951,0.00127,0.80481,0.71041,0.72327,0.40479,1.52948,0.872,0.00235,0.000254791,0.000254791,0.000254791
85,1429.26,1.26844,0.50056,0.00128,0.82055,0.70654,0.72898,0.40553,1.54265,0.88049,0.00236,0.000240644,0.000240644,0.000240644
86,1444.71,1.20097,0.4795,0.00125,0.80265,0.72559,0.73235,0.40601,1.5381,0.87421,0.00235,0.000226497,0.000226497,0.000226497
87,1460.24,1.14612,0.45284,0.00125,0.81157,0.71388,0.729,0.40439,1.53856,0.88659,0.00236,0.000212349,0.000212349,0.000212349
88,1475.94,1.17516,0.46465,0.00126,0.81908,0.7093,0.72418,0.40536,1.53539,0.89812,0.00234,0.000198202,0.000198202,0.000198202
89,1492.75,1.14819,0.45566,0.00122,0.80522,0.71541,0.72703,0.40742,1.53471,0.8942,0.00235,0.000184055,0.000184055,0.000184055
90,1509.81,1.20023,0.46761,0.00127,0.81202,0.71381,0.72819,0.40733,1.53388,0.88713,0.00235,0.000169908,0.000169908,0.000169908
91,1527.79,1.22917,0.4628,0.00118,0.82121,0.70622,0.73113,0.41095,1.5204,0.87921,0.00233,0.000155761,0.000155761,0.000155761
92,1546.51,1.16148,0.42955,0.0011,0.83472,0.69925,0.72673,0.40489,1.52048,0.90664,0.00233,0.000141614,0.000141614,0.000141614
93,1562.44,1.11914,0.40853,0.00107,0.84831,0.69634,0.73015,0.40678,1.52416,0.91176,0.00234,0.000127467,0.000127467,0.000127467
94,1578.43,1.01655,0.37649,0.00104,0.83001,0.70529,0.72614,0.40529,1.52572,0.92566,0.00235,0.00011332,0.00011332,0.00011332
95,1594.83,1.05713,0.40559,0.001,0.82978,0.70995,0.72669,0.40268,1.52915,0.93172,0.00235,9.91726e-05,9.91726e-05,9.91726e-05
96,1610.65,0.99717,0.3707,0.00098,0.82051,0.71136,0.72368,0.40218,1.52756,0.93284,0.00234,8.50255e-05,8.50255e-05,8.50255e-05
97,1626.64,0.98575,0.36369,0.00095,0.83516,0.70558,0.72736,0.40175,1.52622,0.94149,0.00234,7.08784e-05,7.08784e-05,7.08784e-05
98,1642.4,0.93946,0.34418,0.00098,0.82126,0.703,0.72037,0.39995,1.52817,0.95564,0.00235,5.67313e-05,5.67313e-05,5.67313e-05
99,1658.06,1.0076,0.36616,0.00094,0.83199,0.70121,0.72127,0.40034,1.52809,0.94802,0.00235,4.25842e-05,4.25842e-05,4.25842e-05
100,1673.97,0.90351,0.33193,0.00093,0.83307,0.70159,0.72054,0.39981,1.52859,0.93908,0.00235,2.84371e-05,2.84371e-05,2.84371e-05
