epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5994.74,1.01025,1.45967,0.01223,0.76379,0.65267,0.74622,0.61675,0.80377,0.95893,0.01031,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6181.08,0.99282,1.41138,0.01206,0.76161,0.65809,0.74378,0.62114,0.76299,0.93836,0.00976,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6366.83,1.00491,1.4008,0.01176,0.79012,0.63962,0.73919,0.61332,0.79116,0.94742,0.00994,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6551.69,0.97952,1.38573,0.01182,0.77363,0.67057,0.75752,0.63937,0.75008,0.9008,0.00939,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6738.23,1.0012,1.37401,0.01203,0.76245,0.6749,0.76221,0.63864,0.76902,0.8959,0.00967,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6922.29,0.97207,1.32448,0.01163,0.78032,0.69096,0.77414,0.64909,0.76175,0.87928,0.00944,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7108.16,0.95894,1.30909,0.01163,0.81697,0.66734,0.77413,0.65012,0.75861,0.873,0.0094,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7294.21,0.96561,1.3211,0.01147,0.82876,0.66344,0.77591,0.66121,0.72229,0.86382,0.00888,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7480.47,0.95976,1.27387,0.01152,0.78188,0.69329,0.77586,0.663,0.71276,0.8566,0.00874,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7666.45,0.9412,1.26132,0.01139,0.80475,0.6938,0.78365,0.66678,0.7214,0.83479,0.00893,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7852.57,0.9454,1.22741,0.01114,0.81339,0.69926,0.78867,0.67144,0.71583,0.82916,0.00865,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8039.08,0.92259,1.20823,0.01106,0.80054,0.71195,0.79432,0.67713,0.70972,0.82035,0.00861,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8224.55,0.92784,1.19145,0.01126,0.82297,0.70038,0.79446,0.68109,0.69941,0.81561,0.00856,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8411.03,0.92708,1.16765,0.01077,0.81744,0.7117,0.7995,0.68755,0.68981,0.80793,0.0084,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8597.43,0.92681,1.1729,0.01084,0.83478,0.71043,0.80478,0.69447,0.68451,0.79772,0.00835,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8783.32,0.93349,1.14308,0.01084,0.84839,0.69753,0.80817,0.70083,0.67269,0.78206,0.00815,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8968.92,0.92302,1.13423,0.0108,0.86155,0.69406,0.80883,0.7061,0.66287,0.77557,0.00805,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,9155.29,0.92506,1.14129,0.01101,0.81271,0.73224,0.8088,0.70623,0.65392,0.77744,0.00795,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,9341.75,0.90365,1.11304,0.01068,0.80433,0.73562,0.80917,0.70673,0.65306,0.77444,0.00789,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9528.19,0.90495,1.09617,0.01037,0.80138,0.73682,0.81008,0.70505,0.65598,0.77504,0.00794,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9712.49,0.89535,1.07051,0.01039,0.81209,0.739,0.81436,0.71034,0.65365,0.77396,0.00788,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9898.58,0.89232,1.05836,0.01031,0.81669,0.73573,0.81577,0.71222,0.64865,0.7703,0.00782,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,10084.9,0.8916,1.03959,0.01027,0.83272,0.73035,0.81715,0.71576,0.64418,0.76559,0.00773,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,10270.9,0.88625,1.02742,0.0104,0.83505,0.73419,0.82055,0.71871,0.64149,0.76039,0.0077,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10456,0.87447,1.02728,0.0104,0.826,0.74074,0.82137,0.71911,0.64052,0.75729,0.00768,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10640.8,0.87236,1.00634,0.01051,0.83506,0.73839,0.82172,0.7199,0.63909,0.75403,0.00766,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10825.3,0.8633,0.98844,0.00982,0.83816,0.73652,0.82561,0.72428,0.63737,0.75099,0.00762,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11010.7,0.84919,0.99723,0.00994,0.82813,0.74549,0.82473,0.72363,0.63423,0.74982,0.00758,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11195,0.84471,0.96761,0.00964,0.84328,0.73593,0.82731,0.72596,0.63381,0.74743,0.00756,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11380.8,0.85568,0.96328,0.00946,0.85839,0.72777,0.82722,0.72571,0.63138,0.74537,0.0075,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11564.8,0.83819,0.94417,0.00972,0.86059,0.7328,0.82809,0.7271,0.62893,0.7445,0.00745,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11750.9,0.83249,0.92317,0.00978,0.85194,0.73263,0.82833,0.72846,0.62703,0.74236,0.00742,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
