class_id,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,TP,FP,FN,efficiency_score
59,Mi24,13,22,0.74074,0.90909,0.81633,0.905,0.87953,20.0,7.0,2.0,24.45769234864659
60,Mi26,7,7,1.0,0.71429,0.83333,0.715,0.6924,5.0,0.0,2.0,19.2540404331892
61,Mi28,4,4,0.66667,0.5,0.57143,0.41167,0.3705,1.0,2.0,3.0,10.302746938903233
62,Mi8,15,25,0.73333,0.44,0.55,0.435,0.37095,10.0,5.0,15.0,10.315260396723763
63,Mig29,9,14,0.47368,0.64286,0.54545,0.54667,0.44672,7.0,12.0,7.0,12.422248616860601
64,Mig31,16,18,0.69565,0.88889,0.78049,0.8731,0.84337,15.0,8.0,3.0,23.452166493556867
65,Mirage2000,20,30,0.86364,0.63333,0.73077,0.62277,0.53488,18.0,4.0,12.0,14.873774042322703
66,NH90,5,5,1.0,0.4,0.57143,0.395,0.395,2.0,0.0,3.0,10.98403519802099
67,P3,23,29,0.71875,0.7931,0.7541,0.78463,0.78463,21.0,11.0,8.0,21.818743132716985
68,RQ4,13,14,0.66667,0.71429,0.68966,0.58611,0.56536,9.0,6.0,5.0,15.721352252033284
69,Rafale,27,36,0.65789,0.69444,0.67568,0.61939,0.57691,22.0,16.0,14.0,16.042531002760228
70,SR71,13,13,1.0,0.69231,0.81818,0.695,0.695,9.0,0.0,4.0,19.326340411707818
71,Su24,23,53,0.80769,0.39623,0.53165,0.39,0.36023,21.0,5.0,32.0,10.017162023754688
72,Su25,9,13,0.81818,0.69231,0.75,0.68045,0.52905,8.0,3.0,5.0,14.711655244336724
73,Su34,29,38,0.83333,0.78947,0.81081,0.7524,0.68473,30.0,6.0,8.0,19.04075549655927
74,Su47,10,10,1.0,0.9,0.94737,0.895,0.87056,9.0,0.0,1.0,24.20825742275735
75,Su57,20,29,0.85752,0.82759,0.84229,0.82269,0.78406,24.0,4.0,5.0,21.80289275281098
76,T50,9,21,0.8125,0.61905,0.7027,0.615,0.57925,13.0,3.0,8.0,16.107600983426984
77,TB001,3,3,1.0,0.66667,0.8,0.665,0.61525,2.0,0.0,1.0,17.108677609069403
78,TB2,14,83,0.87209,0.90361,0.88757,0.89827,0.75042,75.0,11.0,8.0,20.86744226151623
79,Tejas,4,6,0.5,0.66667,0.57143,0.60833,0.58567,4.0,4.0,2.0,16.286126314999883
80,Tornado,25,33,0.96429,0.81818,0.88525,0.81286,0.79301,27.0,1.0,6.0,22.051771525019305
81,Tu160,22,36,0.89655,0.72222,0.8,0.71112,0.63823,25.0,4.0,11.0,17.747698188437816
82,Tu22M,10,20,0.77712,0.8,0.78839,0.79206,0.67526,16.0,5.0,4.0,18.777416728647225
83,Tu95,14,16,0.92308,0.75,0.82759,0.745,0.69353,12.0,1.0,4.0,19.285463116160752
84,U2,14,15,0.86667,0.86667,0.86667,0.85571,0.75287,13.0,2.0,2.0,20.93557108742801
85,UH60,15,19,0.68421,0.68421,0.68421,0.65085,0.53349,13.0,6.0,6.0,14.835121361499287
86,US2,47,50,0.93478,0.86,0.89583,0.855,0.81247,43.0,3.0,7.0,22.592909056547125
87,V22,40,56,0.94737,0.64286,0.76596,0.645,0.56746,36.0,2.0,20.0,15.77974838852909
88,V280,5,5,1.0,1.0,1.0,0.995,0.995,5.0,0.0,0.0,27.668645625394646
89,Vulcan,26,30,0.92946,0.86667,0.89697,0.865,0.82835,25.0,3.0,5.0,23.034495079191615
90,WZ10,3,3,1.0,0.33333,0.5,0.335,0.335,1.0,0.0,2.0,9.315574155283626
91,WZ7,5,7,0.625,0.71429,0.66667,0.6625,0.60458,4.0,4.0,3.0,16.81196962030261
93,X29,5,5,0.83333,1.0,0.90909,0.995,0.995,5.0,1.0,0.0,27.668645625394646
94,X32,7,7,0.85714,0.85714,0.85714,0.855,0.827,6.0,1.0,1.0,22.996954705730023
95,XB70,14,14,0.8125,0.92857,0.86667,0.91567,0.85587,13.0,3.0,1.0,23.79976254412715
96,XQ58,2,10,1.0,0.7,0.82353,0.695,0.663,7.0,0.0,3.0,18.43649452224789
97,Y20,15,48,0.97143,0.70833,0.81928,0.705,0.63485,34.0,1.0,14.0,17.65370821636361
98,YF23,5,11,0.83333,0.90909,0.86957,0.89682,0.884,10.0,2.0,1.0,24.58199269633052
99,Z10,6,18,0.72727,0.44444,0.55172,0.433,0.39973,8.0,3.0,10.0,11.115565543556785
100,Z19,3,23,0.85185,1.0,0.92,0.93526,0.73793,22.0,5.0,1.0,20.520124287786402
