epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6185.03,0.6758,0.82282,0.00721,0.80272,0.63265,0.72724,0.65242,0.56518,1.02677,0.00667,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6380.93,0.66206,0.78293,0.0071,0.80286,0.632,0.72255,0.64697,0.56238,1.0288,0.00667,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6574.28,0.66813,0.77245,0.00669,0.80212,0.63254,0.73283,0.65856,0.55809,1.0159,0.00661,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6769.21,0.64489,0.76315,0.00669,0.82518,0.63175,0.73391,0.6595,0.55126,1.00539,0.00651,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6964.53,0.65557,0.75184,0.00683,0.79314,0.657,0.74311,0.66797,0.54498,0.98113,0.00637,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7160.43,0.66118,0.76792,0.00689,0.81529,0.64938,0.74414,0.66674,0.54831,0.97997,0.00644,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7353.22,0.63267,0.71729,0.00666,0.80902,0.66198,0.74676,0.67175,0.53998,0.98099,0.00631,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7548.58,0.63644,0.73077,0.00665,0.78911,0.67042,0.74999,0.67515,0.53925,0.9666,0.00625,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7743.78,0.63468,0.70858,0.00658,0.78969,0.6827,0.76051,0.68463,0.53669,0.96666,0.00622,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7938.51,0.6189,0.68656,0.00655,0.8331,0.65792,0.75752,0.68205,0.53432,0.97371,0.00625,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8131.95,0.61583,0.66736,0.00646,0.85156,0.64839,0.76147,0.68517,0.53035,0.95922,0.00616,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8327.46,0.60196,0.67039,0.0062,0.80668,0.68908,0.76116,0.68543,0.52648,0.95072,0.0061,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8521.85,0.61443,0.66189,0.00642,0.80972,0.69138,0.76944,0.69308,0.52878,0.94018,0.00618,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8716.75,0.60788,0.64196,0.00627,0.85757,0.65884,0.77092,0.69485,0.52447,0.93665,0.00606,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
