class_id,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,TP,FP,FN,efficiency_score
0,Aircraft,149,1968,0.96498,0.92175,0.94287,0.92048,0.67891,1814.0,67.0,154.0,21.82746770244898
1,ship,150,406,0.64434,0.45515,0.53347,0.38432,0.15263,194.0,99.0,212.0,4.9071694266173544
2,vehicle,150,9377,0.70124,0.58825,0.63979,0.51445,0.19759,5825.0,2108.0,3552.0,6.3526672803860516
