class_id,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,TP,FP,FN,efficiency_score
0,Aircraft,149,1968,0.97224,0.90752,0.93876,0.90233,0.6604,1786.0,51.0,182.0,21.68989084736982
1,ship,150,406,0.65424,0.47537,0.55064,0.40144,0.14843,208.0,87.0,198.0,4.874970470131894
2,vehicle,150,9377,0.74538,0.57161,0.64703,0.5113,0.20372,5618.0,1573.0,3759.0,6.690891222632011
