epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,752.457,2.03012,1.00373,0.00215,0.72348,0.66557,0.67525,0.365,1.57816,0.86658,0.0024,0.000848969,0.000848969,0.000848969
43,769.331,1.97088,0.95754,0.00228,0.7422,0.65641,0.66674,0.36588,1.59881,0.87072,0.00243,0.000834822,0.000834822,0.000834822
44,785.883,1.9572,0.93346,0.00219,0.73907,0.67955,0.67967,0.37046,1.57254,0.89548,0.0024,0.000820675,0.000820675,0.000820675
45,805.255,2.00881,0.98035,0.00225,0.72714,0.68231,0.67969,0.37566,1.55761,0.86441,0.00236,0.000806528,0.000806528,0.000806528
46,825.308,2.04163,0.97444,0.00215,0.7272,0.66246,0.67358,0.35755,1.59268,0.84916,0.00243,0.00079238,0.00079238,0.00079238
47,842.487,1.96102,0.929,0.00213,0.72339,0.67056,0.68201,0.36647,1.5897,0.82617,0.00245,0.000778233,0.000778233,0.000778233
48,859.752,2.02632,0.92927,0.00213,0.74726,0.66325,0.68994,0.37798,1.5712,0.80678,0.00238,0.000764086,0.000764086,0.000764086
49,878.944,1.92964,0.91182,0.00219,0.73498,0.68972,0.69548,0.37977,1.54831,0.81956,0.00235,0.000749939,0.000749939,0.000749939
50,899.15,1.97644,0.94992,0.00213,0.74414,0.65734,0.6797,0.36719,1.57278,0.85666,0.00236,0.000735792,0.000735792,0.000735792
51,916.883,1.87667,0.90139,0.00216,0.75092,0.687,0.69768,0.38299,1.54161,0.80942,0.00229,0.000721645,0.000721645,0.000721645
52,937.192,1.89524,0.88382,0.00217,0.73617,0.69755,0.70062,0.3827,1.53453,0.82225,0.00232,0.000707498,0.000707498,0.000707498
53,954.367,1.90052,0.92308,0.00209,0.72206,0.68423,0.68318,0.37258,1.57261,0.84619,0.00236,0.000693351,0.000693351,0.000693351
54,971.667,1.93878,0.92987,0.00208,0.73295,0.69872,0.69911,0.37988,1.55538,0.88168,0.00235,0.000679204,0.000679204,0.000679204
55,987.952,1.97253,0.91812,0.00201,0.72987,0.68565,0.68178,0.37355,1.5659,0.83979,0.00239,0.000665057,0.000665057,0.000665057
56,1003.57,1.93384,0.90269,0.00201,0.74184,0.69661,0.70068,0.38076,1.55632,0.82913,0.00232,0.000650909,0.000650909,0.000650909
57,1019.23,1.87184,0.88571,0.00212,0.75221,0.69072,0.70509,0.38127,1.53638,0.81326,0.00229,0.000636762,0.000636762,0.000636762
58,1034.7,1.87972,0.86387,0.00205,0.74762,0.69128,0.69693,0.37963,1.55447,0.84502,0.00231,0.000622615,0.000622615,0.000622615
59,1050.86,1.86296,0.87513,0.00207,0.74924,0.70456,0.7079,0.38721,1.53973,0.83198,0.00231,0.000608468,0.000608468,0.000608468
60,1069.02,1.86869,0.83632,0.002,0.75828,0.67264,0.68603,0.3761,1.56047,0.81571,0.00233,0.000594321,0.000594321,0.000594321
61,1084.87,1.98641,0.8873,0.00199,0.76031,0.69571,0.70816,0.3894,1.53161,0.80015,0.00229,0.000580174,0.000580174,0.000580174
62,1103.36,1.89477,0.87667,0.00209,0.77818,0.68896,0.71463,0.38961,1.51777,0.81846,0.00227,0.000566027,0.000566027,0.000566027
63,1121.23,1.85127,0.86296,0.00202,0.76716,0.69209,0.70873,0.3896,1.52396,0.82154,0.00229,0.00055188,0.00055188,0.00055188
64,1137.53,1.84778,0.82601,0.00207,0.77218,0.69108,0.70789,0.3869,1.51652,0.82171,0.00226,0.000537733,0.000537733,0.000537733
65,1153.45,1.82093,0.79823,0.00203,0.76476,0.69306,0.71177,0.38951,1.56405,0.81903,0.0024,0.000523586,0.000523586,0.000523586
66,1169.21,1.84264,0.81112,0.00206,0.76127,0.70209,0.71419,0.39576,1.51581,0.80276,0.00229,0.000509438,0.000509438,0.000509438
67,1187.86,1.91716,0.84373,0.00202,0.75574,0.71319,0.72066,0.39751,1.52037,0.78569,0.00224,0.000495291,0.000495291,0.000495291
68,1206.11,1.90076,0.85005,0.00195,0.75185,0.72372,0.72516,0.39957,1.52057,0.79177,0.00227,0.000481144,0.000481144,0.000481144
69,1224.66,1.86634,0.82707,0.00196,0.78414,0.69743,0.72231,0.40009,1.52337,0.79043,0.00231,0.000466997,0.000466997,0.000466997
70,1243.09,1.88074,0.845,0.00191,0.78706,0.69345,0.72465,0.40011,1.50899,0.7788,0.00226,0.00045285,0.00045285,0.00045285
71,1261.27,1.85296,0.84162,0.00189,0.77503,0.70828,0.72393,0.4037,1.51112,0.7914,0.00225,0.000438703,0.000438703,0.000438703
72,1279.45,1.80948,0.7948,0.00191,0.77408,0.71727,0.73207,0.40201,1.52589,0.78373,0.00226,0.000424556,0.000424556,0.000424556
73,1295.28,1.76123,0.80634,0.00199,0.7925,0.71183,0.73191,0.40168,1.50638,0.80084,0.00223,0.000410409,0.000410409,0.000410409
74,1311,1.77381,0.81698,0.00197,0.77719,0.69255,0.71465,0.38877,1.53687,0.79827,0.00226,0.000396262,0.000396262,0.000396262
75,1327.13,1.75311,0.80118,0.00198,0.76881,0.71932,0.7318,0.40815,1.49416,0.79419,0.00219,0.000382115,0.000382115,0.000382115
76,1345.63,1.85653,0.82676,0.00192,0.76898,0.71174,0.71999,0.40113,1.50507,0.789,0.00223,0.000367967,0.000367967,0.000367967
77,1361.05,1.80126,0.80883,0.00193,0.77881,0.70757,0.72926,0.39992,1.52159,0.77848,0.00226,0.00035382,0.00035382,0.00035382
78,1376.77,1.87261,0.7925,0.00181,0.78144,0.71197,0.72748,0.40529,1.50185,0.77416,0.00221,0.000339673,0.000339673,0.000339673
79,1392.28,1.69884,0.78267,0.00196,0.77343,0.71791,0.72803,0.40836,1.50119,0.76825,0.00222,0.000325526,0.000325526,0.000325526
80,1410.17,1.71374,0.76728,0.00192,0.78563,0.71843,0.73536,0.41195,1.49015,0.75201,0.0022,0.000311379,0.000311379,0.000311379
81,1428.42,1.69982,0.75151,0.00195,0.78303,0.70285,0.72431,0.40317,1.51402,0.77211,0.00225,0.000297232,0.000297232,0.000297232
82,1443.75,1.7189,0.77934,0.00181,0.77834,0.7146,0.73719,0.40849,1.495,0.76145,0.00221,0.000283085,0.000283085,0.000283085
83,1459.13,1.84158,0.81776,0.0018,0.78284,0.71022,0.73301,0.41234,1.49699,0.75949,0.00222,0.000268938,0.000268938,0.000268938
84,1476.55,1.79368,0.80038,0.00191,0.78441,0.71513,0.73249,0.40862,1.49422,0.76464,0.00221,0.000254791,0.000254791,0.000254791
85,1492.28,1.78336,0.77852,0.00184,0.80099,0.70601,0.73903,0.4139,1.4898,0.74459,0.0022,0.000240644,0.000240644,0.000240644
86,1510.46,1.748,0.77164,0.00179,0.79225,0.7142,0.74393,0.41317,1.48766,0.74239,0.0022,0.000226497,0.000226497,0.000226497
87,1526.09,1.70288,0.72328,0.00187,0.78739,0.71563,0.74052,0.41429,1.48728,0.74105,0.0022,0.000212349,0.000212349,0.000212349
88,1544.23,1.73934,0.74208,0.00178,0.78647,0.72217,0.73859,0.41448,1.49046,0.74506,0.0022,0.000198202,0.000198202,0.000198202
89,1562.05,1.68884,0.73518,0.0018,0.78572,0.72825,0.74472,0.41722,1.48147,0.745,0.00219,0.000184055,0.000184055,0.000184055
90,1580.19,1.72264,0.74734,0.00181,0.78214,0.73525,0.73974,0.41288,1.49275,0.74522,0.00219,0.000169908,0.000169908,0.000169908
