class_id,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,TP,FP,FN,efficiency_score
0,Aircraft,149,1968,0.79583,0.89126,0.84084,0.87041,0.5135,1760.0,444.0,208.0,16.762896012735148
1,ship,150,406,0.47826,0.18966,0.2716,0.12234,0.04541,85.0,76.0,321.0,1.4823819044562863
2,vehicle,150,9377,0.30265,0.35694,0.32756,0.19766,0.0539,3849.0,7210.0,5528.0,1.7595328044526282
